echo_variable_name,echo_variable_label,echo_variable_value_coded_labels,combined_labels
mh2_bf_4g_fam___2,4.g. Paternal grandparents:  Depression: Grandfather,"Grandfather: No, Grandfather: Yes","4.g. Paternal grandparents:  Depression: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4h,4.h. Paternal grandparents:  Eating disorder,"Yes, No, Not applicable, Declined, Don’t know, Missing","4.h. Paternal grandparents:  Eating disorder: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4h_fam___1,4.h. Paternal grandparents:  Eating disorder: Grandmother,"Grandmother: No, Grandmother: Yes","4.h. Paternal grandparents:  Eating disorder: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4h_fam___2,4.h. Paternal grandparents:  Eating disorder: Grandfather,"Grandfather: No, Grandfather: Yes","4.h. Paternal grandparents:  Eating disorder: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4i,4.i. Paternal grandparents:  Schizophrenia,"Yes, No, Not applicable, Declined, Don’t know, Missing","4.i. Paternal grandparents:  Schizophrenia: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4i_fam___1,4.i. Paternal grandparents:  Schizophrenia: Grandmother,"Grandmother: No, Grandmother: Yes","4.i. Paternal grandparents:  Schizophrenia: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4i_fam___2,4.i. Paternal grandparents:  Schizophrenia: Grandfather,"Grandfather: No, Grandfather: Yes","4.i. Paternal grandparents:  Schizophrenia: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4j,4.j. Paternal grandparents:  Alcoholism or other substance abuse,"Yes, No, Not applicable, Declined, Don’t know, Missing","4.j. Paternal grandparents:  Alcoholism or other substance abuse: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4j_fam___1,4.j. Paternal grandparents:  Alcoholism or other substance abuse: Grandmother,"Grandmother: No, Grandmother: Yes","4.j. Paternal grandparents:  Alcoholism or other substance abuse: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4j_fam___2,4.j. Paternal grandparents:  Alcoholism or other substance abuse: Grandfather,"Grandfather: No, Grandfather: Yes","4.j. Paternal grandparents:  Alcoholism or other substance abuse: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4k,4.k. Paternal grandparents:  Attention deficit/hyperactivity disorder (ADHD),"Yes, No, Not applicable, Declined, Don’t know, Missing","4.k. Paternal grandparents:  Attention deficit/hyperactivity disorder (ADHD): Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4k_fam___1,4.k. Paternal grandparents:  Attention deficit/hyperactivity disorder (ADHD): Grandmother,"Grandmother: No, Grandmother: Yes","4.k. Paternal grandparents:  Attention deficit/hyperactivity disorder (ADHD): Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4k_fam___2,4.k. Paternal grandparents:  Attention deficit/hyperactivity disorder (ADHD): Grandfather,"Grandfather: No, Grandfather: Yes","4.k. Paternal grandparents:  Attention deficit/hyperactivity disorder (ADHD): Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4l,4.l. Paternal grandparents:  Autism spectrum disorder (ASD),"Yes, No, Not applicable, Declined, Don’t know, Missing","4.l. Paternal grandparents:  Autism spectrum disorder (ASD): Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4l_fam___1,4.l. Paternal grandparents:  Autism spectrum disorder (ASD): Grandmother,"Grandmother: No, Grandmother: Yes","4.l. Paternal grandparents:  Autism spectrum disorder (ASD): Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4l_fam___2,4.l. Paternal grandparents:  Autism spectrum disorder (ASD): Grandfather,"Grandfather: No, Grandfather: Yes","4.l. Paternal grandparents:  Autism spectrum disorder (ASD): Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4m,4.m. Paternal grandparents:  Learning disability (including dyslexia),"Yes, No, Not applicable, Declined, Don’t know, Missing","4.m. Paternal grandparents:  Learning disability (including dyslexia): Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4m_fam___1,4.m. Paternal grandparents:  Learning disability (including dyslexia): Grandmother,"Grandmother: No, Grandmother: Yes","4.m. Paternal grandparents:  Learning disability (including dyslexia): Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4m_fam___2,4.m. Paternal grandparents:  Learning disability (including dyslexia): Grandfather,"Grandfather: No, Grandfather: Yes","4.m. Paternal grandparents:  Learning disability (including dyslexia): Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4n,4.n. Paternal grandparents:  Intellectual disability (mental retardation),"Yes, No, Not applicable, Declined, Don’t know, Missing","4.n. Paternal grandparents:  Intellectual disability (mental retardation): Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4n_fam___1,4.n. Paternal grandparents:  Intellectual disability (mental retardation): Grandmother,"Grandmother: No, Grandmother: Yes","4.n. Paternal grandparents:  Intellectual disability (mental retardation): Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4n_fam___2,4.n. Paternal grandparents:  Intellectual disability (mental retardation): Grandfather,"Grandfather: No, Grandfather: Yes","4.n. Paternal grandparents:  Intellectual disability (mental retardation): Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4o,4.o. Paternal grandparents:  Epilepsy or seizure disorder,"Yes, No, Not applicable, Declined, Don’t know, Missing","4.o. Paternal grandparents:  Epilepsy or seizure disorder: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4o_fam___1,4.o. Paternal grandparents:  Epilepsy or seizure disorder: Grandmother,"Grandmother: No, Grandmother: Yes","4.o. Paternal grandparents:  Epilepsy or seizure disorder: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4o_fam___2,4.o. Paternal grandparents:  Epilepsy or seizure disorder: Grandfather,"Grandfather: No, Grandfather: Yes","4.o. Paternal grandparents:  Epilepsy or seizure disorder: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4p,4.p. Paternal grandparents:  High cholesterol (hyperlipidemia),"Yes, No, Not applicable, Declined, Don’t know, Missing","4.p. Paternal grandparents:  High cholesterol (hyperlipidemia): Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4p_fam___1,4.p. Paternal grandparents:  High cholesterol (hyperlipidemia): Grandmother,"Grandmother: No, Grandmother: Yes","4.p. Paternal grandparents:  High cholesterol (hyperlipidemia): Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4p_fam___2,4.p. Paternal grandparents:  High cholesterol (hyperlipidemia): Grandfather,"Grandfather: No, Grandfather: Yes","4.p. Paternal grandparents:  High cholesterol (hyperlipidemia): Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4q,4.q. Paternal grandparents:  Hypertension / high blood pressure,"Yes, No, Not applicable, Declined, Don’t know, Missing","4.q. Paternal grandparents:  Hypertension / high blood pressure: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4q_fam___1,4.q. Paternal grandparents:  Hypertension / high blood pressure: Grandmother,"Grandmother: No, Grandmother: Yes","4.q. Paternal grandparents:  Hypertension / high blood pressure: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4q_fam___2,4.q. Paternal grandparents:  Hypertension / high blood pressure: Grandfather,"Grandfather: No, Grandfather: Yes","4.q. Paternal grandparents:  Hypertension / high blood pressure: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4r,4.r. Paternal grandparents:  Diabetes,"Yes, No, Not applicable, Declined, Don’t know, Missing","4.r. Paternal grandparents:  Diabetes: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4r_fam___1,4.r. Paternal grandparents:  Diabetes: Grandmother,"Grandmother: No, Grandmother: Yes","4.r. Paternal grandparents:  Diabetes: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4r_fam___2,4.r. Paternal grandparents:  Diabetes: Grandfather,"Grandfather: No, Grandfather: Yes","4.r. Paternal grandparents:  Diabetes: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4r1,4.r.1. Paternal grandparents:  Type 1 diabetes,"Yes, No, Not applicable, Declined, Don’t know, Missing","4.r.1. Paternal grandparents:  Type 1 diabetes: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4r1_fam___1,4.r.1. Paternal grandparents:  Type 1 diabetes: Grandmother,"Grandmother: No, Grandmother: Yes","4.r.1. Paternal grandparents:  Type 1 diabetes: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4r1_fam___2,4.r.1. Paternal grandparents:  Type 1 diabetes: Grandfather,"Grandfather: No, Grandfather: Yes","4.r.1. Paternal grandparents:  Type 1 diabetes: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4s,4.s. Paternal grandparents:  Thyroid disorder,"Yes, No, Not applicable, Declined, Don’t know, Missing","4.s. Paternal grandparents:  Thyroid disorder: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4s_fam___1,4.s. Paternal grandparents:  Thyroid disorder: Grandmother,"Grandmother: No, Grandmother: Yes","4.s. Paternal grandparents:  Thyroid disorder: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4s_fam___2,4.s. Paternal grandparents:  Thyroid disorder: Grandfather,"Grandfather: No, Grandfather: Yes","4.s. Paternal grandparents:  Thyroid disorder: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4t,"4.t. Paternal grandparents:  Coronary artery disease (including heart attack, angina)","Yes, No, Not applicable, Declined, Don’t know, Missing","4.t. Paternal grandparents:  Coronary artery disease (including heart attack, angina): Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4t_fam___1,"4.t. Paternal grandparents:  Coronary artery disease (including heart attack, angina): Grandmother","Grandmother: No, Grandmother: Yes","4.t. Paternal grandparents:  Coronary artery disease (including heart attack, angina): Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4t_fam___2,"4.t. Paternal grandparents:  Coronary artery disease (including heart attack, angina): Grandfather","Grandfather: No, Grandfather: Yes","4.t. Paternal grandparents:  Coronary artery disease (including heart attack, angina): Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4u,4.u. Paternal grandparents:  Any other heart disease,"Yes, No, Not applicable, Declined, Don’t know, Missing","4.u. Paternal grandparents:  Any other heart disease: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4u_fam___1,4.u. Paternal grandparents:  Any other heart disease: Grandmother,"Grandmother: No, Grandmother: Yes","4.u. Paternal grandparents:  Any other heart disease: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4u_fam___2,4.u. Paternal grandparents:  Any other heart disease: Grandfather,"Grandfather: No, Grandfather: Yes","4.u. Paternal grandparents:  Any other heart disease: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4v,4.v. Paternal grandparents:  Stroke,"Yes, No, Not applicable, Declined, Don’t know, Missing","4.v. Paternal grandparents:  Stroke: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4v_fam___1,4.v. Paternal grandparents:  Stroke: Grandmother,"Grandmother: No, Grandmother: Yes","4.v. Paternal grandparents:  Stroke: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4v_fam___2,4.v. Paternal grandparents:  Stroke: Grandfather,"Grandfather: No, Grandfather: Yes","4.v. Paternal grandparents:  Stroke: Grandfather: Grandfather: No, Grandfather: Yes"
xmh2_bf_4w_sp,4.z. Paternal grandparents:  Other autoimmune disease (de-identified),,4.z. Paternal grandparents:  Other autoimmune disease (de-identified): 
mh2_bf_4w,4.w. Paternal grandparents:  Other autoimmune diseases,"Yes, No, Not applicable, Declined, Don’t know, Missing","4.w. Paternal grandparents:  Other autoimmune diseases: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4w_fam___1,4.w. Paternal grandparents:  Other autoimmune diseases: Grandmother,"Grandmother: No, Grandmother: Yes","4.w. Paternal grandparents:  Other autoimmune diseases: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4w_fam___2,4.w. Paternal grandparents:  Other autoimmune diseases: Grandfather,"Grandfather: No, Grandfather: Yes","4.w. Paternal grandparents:  Other autoimmune diseases: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4x,4.x. Paternal grandparents:  Breast cancer,"Yes, No, Not applicable, Declined, Don’t know, Missing","4.x. Paternal grandparents:  Breast cancer: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4x_fam___1,4.x. Paternal grandparents:  Breast cancer: Grandmother,"Grandmother: No, Grandmother: Yes","4.x. Paternal grandparents:  Breast cancer: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4x_fam___2,4.x. Paternal grandparents:  Breast cancer: Grandfather,"Grandfather: No, Grandfather: Yes","4.x. Paternal grandparents:  Breast cancer: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4y,4.y. Paternal grandparents:  Colon cancer,"Yes, No, Not applicable, Declined, Don’t know, Missing","4.y. Paternal grandparents:  Colon cancer: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4y_fam___1,4.y. Paternal grandparents:  Colon cancer: Grandmother,"Grandmother: No, Grandmother: Yes","4.y. Paternal grandparents:  Colon cancer: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4y_fam___2,4.y. Paternal grandparents:  Colon cancer: Grandfather,"Grandfather: No, Grandfather: Yes","4.y. Paternal grandparents:  Colon cancer: Grandfather: Grandfather: No, Grandfather: Yes"
xmh2_bf_4z_sp,4.z. Paternal grandparents: Other cancer (de-identified),,4.z. Paternal grandparents: Other cancer (de-identified): 
mh2_bf_4z,4.z. Paternal grandparents:  Other cancer(s),"Yes, No, Not applicable, Declined, Don’t know, Missing","4.z. Paternal grandparents:  Other cancer(s): Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4z_fam___1,4.z. Paternal grandparents:  Other cancer(s): Grandmother,"Grandmother: No, Grandmother: Yes","4.z. Paternal grandparents:  Other cancer(s): Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4z_fam___2,4.z. Paternal grandparents:  Other cancer(s): Grandfather,"Grandfather: No, Grandfather: Yes","4.z. Paternal grandparents:  Other cancer(s): Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4aa,4.aa. Paternal grandparents: Death,"Yes, No, Not applicable, Declined, Don’t know, Missing","4.aa. Paternal grandparents: Death: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4aa_fam___1,4.aa. Paternal grandparents: Death: Grandmother,"Grandmother: No, Grandmother: Yes","4.aa. Paternal grandparents: Death: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4aa_fam___2,4.aa. Paternal grandparents: Death: Grandfather,"Grandfather: No, Grandfather: Yes","4.aa. Paternal grandparents: Death: Grandfather: Grandfather: No, Grandfather: Yes"
mh_bf_1a,a. Mother,"Yes, No, Not applicable, Declined, Don't know, Missing","a. Mother: Yes, No, Not applicable, Declined, Don't know, Missing"
mh_bf_1b,b. Father,"Yes, No, Not applicable, Declined, Don't know, Missing","b. Father: Yes, No, Not applicable, Declined, Don't know, Missing"
mh_bf_1c,c. Full or half sibling(s),"Yes, No, Not applicable, Declined, Don't know, Missing","c. Full or half sibling(s): Yes, No, Not applicable, Declined, Don't know, Missing"
mh_bf_1d,d. Maternal grandmother,"Yes, No, Not applicable, Declined, Don't know, Missing","d. Maternal grandmother: Yes, No, Not applicable, Declined, Don't know, Missing"
mh_bf_1e,e. Maternal grandfather,"Yes, No, Not applicable, Declined, Don't know, Missing","e. Maternal grandfather: Yes, No, Not applicable, Declined, Don't know, Missing"
mh_bf_1f,f. Maternal aunt(s)/uncle(s),"Yes, No, Not applicable, Declined, Don't know, Missing","f. Maternal aunt(s)/uncle(s): Yes, No, Not applicable, Declined, Don't know, Missing"
mh_bf_1g,g. Paternal grandmother,"Yes, No, Not applicable, Declined, Don't know, Missing","g. Paternal grandmother: Yes, No, Not applicable, Declined, Don't know, Missing"
mh_bf_1h,h. Paternal grandfather,"Yes, No, Not applicable, Declined, Don't know, Missing","h. Paternal grandfather: Yes, No, Not applicable, Declined, Don't know, Missing"
mh_bf_1i,i. Paternal aunt(s)/uncle(s),"Yes, No, Not applicable, Declined, Don't know, Missing","i. Paternal aunt(s)/uncle(s): Yes, No, Not applicable, Declined, Don't know, Missing"
mh_bf_2a_fam___1,a. Asthma: Mother,"Mother: No, Mother: Yes","a. Asthma: Mother: Mother: No, Mother: Yes"
mh_bf_2a_fam___2,a. Asthma: Father,"Father: No, Father: Yes","a. Asthma: Father: Father: No, Father: Yes"
mh_bf_2a_fam___3,a. Asthma: Sibling(s),"Sibling(s): No, Sibling(s): Yes","a. Asthma: Sibling(s): Sibling(s): No, Sibling(s): Yes"
mh_bf_2b_fam___1,b. Eczema (atopic dermatitis): Mother,"Mother: No, Mother: Yes","b. Eczema (atopic dermatitis): Mother: Mother: No, Mother: Yes"
mh_bf_2b_fam___2,b. Eczema (atopic dermatitis): Father,"Father: No, Father: Yes","b. Eczema (atopic dermatitis): Father: Father: No, Father: Yes"
mh_bf_2b_fam___3,b. Eczema (atopic dermatitis): Sibling(s),"Sibling(s): No, Sibling(s): Yes","b. Eczema (atopic dermatitis): Sibling(s): Sibling(s): No, Sibling(s): Yes"
mh_bf_2c_fam___1,c. Food allergy: Mother,"Mother: No, Mother: Yes","c. Food allergy: Mother: Mother: No, Mother: Yes"
mh_bf_2c_fam___2,c. Food allergy: Father,"Father: No, Father: Yes","c. Food allergy: Father: Father: No, Father: Yes"
